法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●企業内保育園（企業にお勤めの方のお子様をお預かりします）
●一人ひとりとしっかり関われる小規模保育園
●定員１２名
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています。
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844215/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)18時30分〜0時00分 (2)0時00分〜7時00分 ※変形労働時間制　１６０〜１７７時間／月（月によって異なる）　シフト勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844238/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●一人ひとりしっかり関われる小規模保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけでなく職員にとっての「心の基地」を目指しています♪私たちといっしょに子どもたちの想いを形にする保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844270/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844263/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●院内保育園
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく職員にとっての「心の基地」を目指しています。私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844242/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●院内保育園
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく職員にとっての「心の基地」を目指しています。私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844246/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",１６０〜１７７時間／月（月によって異なる）　シフト勤務　現状７時４５分〜１８時１５分までの勤務が主流です 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844278/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●定員６０名
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています。私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)18時00分〜0時00分 (2)0時00分〜8時00分 ※夜間保育あり（週１〜２回） 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844196/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●定員３０名
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての
「心の基地」を目指しています♪
私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844331/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●定員１２名（最大１９名）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
アイグランでは子供たちだけでなく、職員にとっての
「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844323/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)18時30分〜0時00分 (2)0時00分〜7時00分 ※変形労働時間制　１６０〜１７７時間／月（月によって異なる）　シフト勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844254/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",１６０〜１７７時間／月（月によって異なる）　シフト勤務　最長で２１時３０分まで延長あり 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844264/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●病院内保育園（病院勤務の方のお子様をお預かりします）
●一人ひとりとしっかり関われる小規模保育園
●定員２０名
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての
「心の基地」を目指しています♪
私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",シフト制勤務　１６０〜１７７時間／月（月によって異なる） 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844268/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●病院内保育園（病院勤務の方のお子様をお預かりします）
●一人ひとりとしっかり関われる小規模保育園
●定員２０名
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての
「心の基地」を目指しています♪
私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",シフト制勤務　１６０〜１７７時間／月（月によって異なる） 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844268/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●定員１２名
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく
職員にとっての「心の基地」を目指しています
私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844297/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●病院内保育園（病院にお勤めの方のお子様をお預かりします）
●小規模保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりま
せんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)17時00分〜0時00分 (2)0時00分〜8時00分 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844244/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています♪私たちといっしょに子供たちの想いを形にする保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。
ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844299/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●院内保育園（病院でお勤めの方のお子様をお預かりします）
●一人ひとりとしっかり関われる小規模保育園
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
アイグランでは子供たちだけでなく、職員にとっての
「心の基地」を目指しています♪
私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844327/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●定員３０名
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子供たちだけでなく、職員にとっての
「心の基地」を目指しています♪
私たちといっしょに子供たちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし労働条件については別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",１６０〜１７７時間／月（月によって異なる）　＊シフト勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844388/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●認可保育園（定員１００名）
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
「みんなちがって
みんないい」
個性豊かな子どもたちの心を育み、いつも子どもたちの
良き理解者でありたいと思います。
毎日、子どもたちのことを「ぎゅーっ」と抱きしめて、
一人ひとりの存在を大切に、たくさんの愛情を伝えられる
職員集団で在りたいと思います。
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円 〜 201,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 111日,,"
https://job-medley.com/cw/hw/5844376/"
玉川たっち小規模保育園,滋賀県草津市野路９丁目１−３８,"滋賀県草津市野路９丁目１−３８
琵琶湖線 南草津駅から徒歩で12分","令和５年９月〜勤務して頂ける方を募集します。
０〜２歳児のクラス担任（正規職員）として保育全般の仕事に従事して頂きます。
園長だから、社員、パートだから、栄養士だからという壁は一切なく全職員が同じ目線で物事を考え、意見を出し合い、職員間のコミュニケーションを最も大切にし、同じ方向性を持ちながら連携を取り保育をしています。子どもたちや職員の笑顔が溢れる園作りを目指しています。楽しいことが大好きで、何事に前向きに取り組んで頂ける方、失敗をしても大丈夫です。全力でサポートします！やる気に満ちた方、大歓迎です！！また、家庭と子育ても両立できる職場でもあります。
一緒にお仕事をしていただける方、お待ちしています！！",,"月給 183,000円 〜 219,000円",,通勤手当： マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ,休憩60分 時間外勤務：なし ,年間休日数 124日,,"
https://job-medley.com/cw/hw/5795694/"
医療法人友紘会友紘会総合病院,大阪府茨木市西豊川町２５－１,"大阪府茨木市西豊川町２５－１
大阪モノレール彩都線 豊川駅から徒歩で9分
大阪モノレール彩都線 阪大病院前駅から徒歩で13分","病院敷地内の保育所にて乳幼児を預かり、生き生きと生活ができるように保育していきます。＊日勤常勤可＊月に１，２回程度当直入れる方歓迎＊経験は不問です。
ご応募お待ちしています。",,"月給 183,000円 〜 215,700円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,(1)8時00分〜16時15分 (2)10時30分〜18時45分 (3)16時15分〜8時45分 （４）１７時１５分～９時４５分 休憩60分 時間外勤務：なし ,年間休日数 118日,,"
https://job-medley.com/cw/hw/5777467/"
株式会社みらい福祉会,長野県飯田市上郷飯沼３５１２－２２,"長野県飯田市上郷飯沼３５１２－２２
JR飯田線(天竜峡～辰野) 伊那上郷駅から徒歩で27分",～療育プログラムを通じて、子どもたちの成長を促す放課後等デイサービス・児童発達支援事業所～子どもたちの成長をサポートできるお仕事です！『言語』『コミュニケーション』『情緒』『行動』『運動』この５つの療育プログラム体系を軸に、障がいをもった子どもたちが将来自立した生活を営む上で必要な生活能力向上のために必要な訓練と社会性の向上を促進するための場所を提供します。他の施設でもすでに療育の効果が実証されたプログラムを導入し、障がいを持つ子どもたちの「困り感」に対して効果的な療育を行い、集団生活での自立に向けた支援を行います！,,"月給 183,000円 〜 235,000円",,"通勤手当： 毎月 14,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時30分〜18時30分 配属事業所により異なります 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5752997/"
株式会社みらい福祉会,長野県飯田市上郷飯沼３５１２－２２,"長野県飯田市上郷飯沼３５１２－２２
JR飯田線(天竜峡～辰野) 伊那上郷駅から徒歩で27分",～療育プログラムを通じて、子どもたちの成長を促す放課後等デイサービス・児童発達支援事業所～子どもたちの成長をサポートできるお仕事です！『言語』『コミュニケーション』『情緒』『行動』『運動』この５つの療育プログラム体系を軸に、障がいをもった子どもたちが将来自立した生活を営む上で必要な生活能力向上のために必要な訓練と社会性の向上を促進するための場所を提供します。他の施設でもすでに療育の効果が実証されたプログラムを導入し、障がいを持つ子どもたちの「困り感」に対して効果的な療育を行い、集団生活での自立に向けた支援を行います！※雇用条件等の詳細については面接時に説明いたします。,,"月給 183,000円 〜 235,000円",,"通勤手当： 毎月 14,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)9時30分〜18時30分 配属事業所により異なります 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5752996/"
社会福祉法人らく楽福祉会,香川県高松市室町１９０３−４,"香川県高松市室町１９０３−４
琴電琴平線 栗林公園駅から徒歩で12分
琴電琴平線 三条駅から徒歩で15分
JR高徳線 栗林公園北口駅から徒歩で16分","○らく楽太田保育園（定員８０名）での０〜５歳児の保育業務
・朝の受入、遊び、おやつ、給食、お昼寝、帰りの立会、清掃
・保護者への報告、連携、保育日誌等の記録、行事の運営など
「保育」",,"月給 183,000円 〜 260,000円",,"通勤手当：月額 10,000円 10000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",就業時間は職員間で調整。 休憩60分 時間外勤務：なし ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5732254/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
〇２０２３年４月〜移転＆日中も開園に変わります！〇
４月からご勤務いただける方募集開始です！
●院内保育園（病院にお勤めの方のお子様をお預かりします）
●こどもたち一人ひとりと関われる小規模保育園
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく、職員にとっての「心の基地」を目指しています♪私たちといっしょに子どもたちの想いを形にする保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)17時00分〜0時00分 (2)0時00分〜8時00分 １６０〜１７７時間／月（月によって異なる）　シフト勤務　週２回程度夜間保育を想定 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5743583/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●院内保育園（病院にお勤めの方のお子様をお預かりします）
●保育業務全般（主活動、オムツ交換、食事介助、清掃など）
●社員用託児所完備（保育料や給食も無料）
●子育て世代や未経験者・ブランクがある方も歓迎！
安心できる「心の基地」を大切に、子どもたちが毎日笑顔でいられる保育園です！
子どもたちも、保育士も毎日楽しく通える保育園を目指しています。是非、一緒に働いてみませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 183,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",・１６０〜１７７時間／月（月によって異なる）　・シフト制勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5743591/"
