法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
ラビットポケット株式会社,千葉県習志野市本大久保４－１４－１０グランドパレス大久保２０３号室,"千葉県習志野市本大久保４－１４－１０グランドパレス大久保２０３号室
京成本線 京成大久保駅から徒歩で4分
京成本線 実籾駅から徒歩で24分
JR中央・総武線 幕張本郷駅から徒歩で24分",●子ども達の一人ひとりの「やりたい！」や「私も僕もできた！」を大切にする保育園（チーム）を創る仕事です●具体的には「現場（保育士）の相談相手」「指導計画の確認・アドバイス」「保護者様対応」「行政監査対応（保育面のみ）」「現場の保育支援など」です●ご自身の経験・得意分野に応じて、園長の仕事を習得して頂きます●例えば、「保育面」が得意な方は、充実した保育環境（活動）を同僚の保育士と一緒に創って頂きます●例えば、「チーム育成」が得意な方は、現場で働く保育士の相談・サポート、業務管理などに専念頂きます●子ども達や同僚の笑顔、ユーモアと笑いのある保育園を一緒に創ってみませんか。,,"月給 290,000円 〜 360,000円",,"通勤手当： 毎月 15,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",１週間の所定労働時間は１カ月を平均して１週間当たり４０時間です。ただし日曜・祝祭日・年末年始などは休みです。 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5862591/"
ラビットポケット株式会社,千葉県習志野市本大久保４－１４－１０グランドパレス大久保２０３号室,"千葉県習志野市本大久保４－１４－１０グランドパレス大久保２０３号室
京成本線 京成大久保駅から徒歩で4分
京成本線 実籾駅から徒歩で24分
JR中央・総武線 幕張本郷駅から徒歩で24分",●子ども達の一人ひとりの「やりたい！」や「私も僕もできた！」を大切にする保育園（チーム）を創る仕事です●具体的には「現場（保育士）の相談相手」「指導計画の確認・アドバイス」「保護者様対応」「行政監査対応（保育面のみ）」「現場の保育支援など」です●ご自身の経験・得意分野に応じて、園長の仕事を習得して頂きます●例えば、「保育面」が得意な方は、充実した保育環境（活動）を同僚の保育士と一緒に創って頂きます●例えば、「チーム育成」が得意な方は、現場で働く保育士の相談・サポート、業務管理などに専念頂きます●子ども達や同僚の笑顔、ユーモアと笑いのある保育園を一緒に創ってみませんか。,,"月給 290,000円 〜 360,000円",,"通勤手当： 毎月 15,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",１週間の所定労働時間は１カ月を平均して１週間当たり４０時間です。ただし日曜・祝祭日・年末年始などは休みです。 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5862592/"
社会福祉法人あゆみの会高階すまいる保育園,埼玉県川越市諏訪町２０－１０,"埼玉県川越市諏訪町２０－１０
東武東上線 上福岡駅から徒歩で16分
東武東上線 新河岸駅から徒歩で23分","※令和２年４月開園（川越市）
園舎は、木立の中の保育園をイメージしました
保育業務全般（０～５歳）
定員：８０名
・チーム保育士としての保育業務
・各種行事の企画、実施、記録
・環境整備
等
※チーム保育を実施していますので、安心して働ける
環境です。（担任制ではありません）
◆検索コード・・・「保育」",,"月給 286,000円 〜 340,000円",,"通勤手当： 毎月 40,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)7時30分〜16時30分 (3)8時15分〜17時15分 シフト制（概ね７：００－１０：１５開始の８種類のシフトあり） 休憩60分 時間外勤務：なし ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5805163/"
社会福祉法人あゆみの会鶴ケ岡すまいる保育園,埼玉県ふじみ野市鶴ケ岡３ー１９－８０,"埼玉県ふじみ野市鶴ケ岡３ー１９－８０
東武東上線 上福岡駅から徒歩で17分","◇０～５歳児の保育業務全般を行っていただきます。
・チーム保育士としての保育業務
・各種行事の企画・実施・記録
・環境整備等
（定員１０２名）
※チーム保育を実施していますので安心して働ける
環境です（担任制ではありません）
※平成２８年４月開園
■検索コード…「保育」",,"月給 286,000円 〜 340,000円",,"通勤手当： 毎月 40,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)7時30分〜16時30分 (3)8時15分〜17時15分 シフト制（概ね７：００－１０：１５開始の８種類のシフトあり） 休憩60分 時間外勤務：なし ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5805165/"
社会福祉法人賛育会さんいく保育園有明,東京都江東区有明１丁目５－２ブリリア有明シティタワー２階,"東京都江東区有明１丁目５－２ブリリア有明シティタワー２階
ゆりかもめ 有明テニスの森駅から徒歩で9分
ゆりかもめ お台場海浜公園駅から徒歩で12分
りんかい線 国際展示場駅から徒歩で15分",・保育業務・担任業務・保育雑務,,"月給 284,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：なし ,(1)6時45分〜15時15分 (2)8時30分〜17時00分 (3)11時30分〜20時00分 （１）早番、（３）遅番勤務はそれぞれ月３回前後 休憩60分 時間外勤務：あり ,年間休日数 121日,,"
https://job-medley.com/cw/hw/5806131/"
株式会社ゆめ工房,宮城県仙台市泉区泉中央１丁目２３−５,"宮城県仙台市泉区泉中央１丁目２３−５
仙台市営地下鉄南北線 泉中央駅から徒歩で4分
仙台市営地下鉄南北線 八乙女駅から徒歩で19分","１７名定員の企業主導型保育です。仙台市地下鉄東西線卸町駅徒歩１２分。
０歳児から２歳児の保育となります。
病児保育事業を展開しております。（３名）
人間性の育成を目指し、一人ひとりの可能性を引き出します。また、安全と安心を追求し、真心を込めた保育を行います。
＊歌、ダンス、体操、レクリエー
ションゲームなど、保育に関す
る趣味をお持ちの方歓迎いたします。",,"月給 283,000円 〜 353,000円",,"通勤手当：月額 7,500円 7500 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時30分〜18時30分 シフト制 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5870470/"
社会福祉法人四季の会どろんこ保育園,福岡県福岡市博多区住吉１丁目２−５０,"福岡県福岡市博多区住吉１丁目２−５０
福岡市営地下鉄七隈線 櫛田神社前駅から徒歩で6分
福岡市営地下鉄空港線 祇園駅から徒歩で10分
福岡市営地下鉄七隈線 渡辺通駅から徒歩で11分","クラスリーダーの指示に従い、他の担当保育士と協力して保育し
ます。昼間、夜間の園児約１８０名を、０歳児１クラス、１、２歳
児混合３クラス、３、４、５歳児混合４クラスの８クラスに分けて
午前７時から深夜２時までの間、常勤３６名、非常勤５名の保育士
で保育しています。
令和５年度後半に４名の保育士が産休・育休に入りますので、未
満児クラスの代替保育士を募集します。
モンテッソーリ教育の実施園です。モンテッソーリ教育は、英才
教育でも早期教育でもありません。子どもが自分の意思で“何をす
るか決める”姿を、実際にご覧になりませんか。
農薬・添加物を極力省いた玄米給食も試してみてください。
養護性の高いでも教育にも手を抜かない保育を体験されませんか",,"月給 280,000円 〜 310,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 なし 昇給：なし 賞与：なし ",(1)8時00分〜18時00分 (2)11時00分〜21時00分 就業時間１は　８：００〜１８：００の間で８時間就業。　就業時間２は１１：００〜２１：００の間で８時間就業。　応募時にどちらかを選択してください。就業時間１の給与　月額２８万円。就業時間２の給与月額３１万円。 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5877363/"
ＧｏｌｄｅｎＭＧｒｏｕｐ合同会社,東京都北区西が丘１−４０−１３,"東京都北区西が丘１−４０−１３
都営三田線 本蓮沼駅から徒歩で15分
都営三田線 板橋本町駅から徒歩で16分
JR埼京線 十条駅から徒歩で21分","フランス語教育をベースとしたインターナショナルスクール『東京日仏国際学園』の保育士のお仕事です。（英語・フランス語は必須ではありません。）
北区の西が丘と西ヶ原に２つのキャンパスがあります。
・西が丘キャンパス：３歳以上対象の幼稚園
・西ヶ原キャンパス：１歳以上３歳未満対象の保育園
どちらでの勤務を希望されるかは応相談。",,"月給 280,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：不可 昇給：なし 賞与：あり ",(1)8時30分〜17時30分 ※シフト制（応相談） 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5851053/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●認可保育園
●定員６０名
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
●子育て世代や未経験者・ブランクがある方も歓迎！
アイグランでは子どもたちだけなく職員にとっての「心の基地」を目指しています。私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 278,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",１６０〜１７７時間／月（月によって異なる）　シフト勤務 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5743844/"
株式会社ハビリスデザイン,神奈川県藤沢市高谷１３－８,"神奈川県藤沢市高谷１３－８
JR東海道本線(東京～熱海) 藤沢駅から徒歩で28分","＊アート活動を中心とした放課後等デイサービスにおける支援業務
個別支援計画の作成、活動プログラムの企画・立案、子どもの状
況に応じた発達支援、送迎（運転または添乗／エリア：主に藤沢
市内・社用車：普通自動車）、事務作業、環境整備＊定員１０名
身体障がい児を中心とした放課後等デイサービスで
す。＊放課後児童クラブ、放課後等デイサービス、障がい児者一時預か
りの３つの事業を一体的に行う施設になります。",,"月給 273,625円",,"通勤手当： 毎月 22,000円まで マイカー通勤可否：可 昇給： 賞与：なし ",(1)9時00分〜18時00分 (2)10時00分〜19時00分 （１）（２）はシフト例８：００～１９：３０の間の実働８時間の勤務 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5817070/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","【ＷＥＢ面接実施中！】保育大手の株式会社アイグラン運営
●認可保育園の主任候補保育士のお仕事です。
●園長の補佐や保育士をまとめる役割
●保育業務全般（主活動、オムツ交換、食事介助、清掃等）
●専門講師が週１回リトミック実施
アイグランでは子供たちだけでなく、職員にとっての「心の基地」を目指しています
私たちといっしょに子供たちの想いを形にする保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件については、別途ご説明いたします。",,"月給 273,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 111日,,"
https://job-medley.com/cw/hw/5776178/"
学校法人坪内学園,島根県松江市東朝日町７４番地,"島根県松江市東朝日町７４番地
JR山陰本線(米子～益田) 松江駅から徒歩で5分","こども総合学科（保育士・幼稚園教諭養成）にて、教員として従事していただきます。※外出用務の際は社用車（ＡＴ）使用【応募要件】下記いずれかを満たした方で応募可です。＊こどもの指導法「言語表現」「言語」「環境」のいずれか指導が
できる方＊論文、著書などで上記関連を有している方＊幼児教育関係の修士又は博士の学位を有する※未経験の方も丁寧にご指導いたしますので、安心してご応募
ください。",,"月給 271,000円 〜 376,000円",,"通勤手当： 毎月 20,800円まで マイカー通勤可否：可 昇給： 賞与：なし ",(1)9時00分〜18時05分 休憩65分 時間外勤務：なし ,年間休日数 114日,,"
https://job-medley.com/cw/hw/5719774/"
特定非営利活動法人障害福祉支援もえぎ,神奈川県横浜市旭区今川町６０－１,"神奈川県横浜市旭区今川町６０－１
相鉄本線 鶴ヶ峰駅から徒歩で16分
相鉄・JR直通線 鶴ヶ峰駅から徒歩で16分
相鉄本線 二俣川駅から徒歩で27分","・法人が運営する通所施設で知的障害児の放課後等デイサービス
（児童福祉法による）を提供しています。・放課後や土曜日、学校休業日において子ども達が安全に楽しく
過ごせるよう遊びを通して支援します。・運転免許をお持ちの方はお子様の送迎サービスも行ってます。詳しくは弊社ホームページをご覧ください。",,"月給 270,000円",,"通勤手当： 毎月 25,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5863108/"
