法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
社会福祉法人わかば福祉会日野わかば保育園,東京都日野市程久保３−２１−２,"東京都日野市程久保３−２１−２
京王動物園線 多摩動物公園駅から徒歩で7分
多摩モノレール 多摩動物公園駅から徒歩で8分
多摩モノレール 程久保駅から徒歩で10分",０〜５歳児の保育業務全般。・明るく楽しい乳幼児の教育をする保育園・適正発達の保育計画で無理がありません。・園児は５００平米ある天然の芝の園庭でのびのびと遊べます。・日誌等の書く量は少ないです。・持ち帰り仕事やサービス残業はありません。・昼休みは子供と離れてゆっくり休めます。・男女別更衣室・ロッカーも完備。・有給休暇は前年度取得率平均８０％でした。・産休・育休制度が充実しています。・入職時期や勤務シフトについてはご相談下さい。,,"月給 219,000円 〜 229,000円",,"通勤手当：月額 15,000円 毎月 月額まで マイカー通勤可否：可 昇給：あり 賞与：あり ",(1)8時00分〜17時00分 (2)6時55分〜15時55分 (3)9時25分〜18時25分 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5488718/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員７６名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 219,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5491487/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員８０名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 219,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)11時00分〜20時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5491488/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員７０名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 219,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5488761/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員８０名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 219,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)11時00分〜20時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5488762/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員６０名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 219,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)11時00分〜20時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5488764/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員６０名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 219,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場完備 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 (2)8時00分〜17時00分 (3)11時00分〜20時00分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5488765/"
社会福祉法人紫雲会白百合保育園,広島県福山市沼隈町大字中山南７５０３−２,"広島県福山市沼隈町大字中山南７５０３−２
JR山陽本線(岡山～三原) 備後赤坂駅から車で19分",４歳児クラス主担任保育士,,"月給 218,800円 〜 228,160円",,"通勤手当：月額 8,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場あり 昇給：あり 賞与：あり ",(1)8時00分〜17時00分 (2)8時00分〜13時00分 休憩60分 時間外勤務：あり ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5791773/"
社会福祉法人栃の木福祉会大和田とちのき保育園,埼玉県さいたま市見沼区大和田町１−２０２２,"埼玉県さいたま市見沼区大和田町１−２０２２
東武野田線 大和田駅から徒歩で13分
東武野田線 七里駅から徒歩で17分","園児に対する教育・保育とともに、保護者や地域の子育て世帯に対しての子育て支援を行います。
令和３年４月に開園した、園児定員９０人の認可保育園です。
見沼区大和田はさいたま市の中でも豊かな自然が残り、近隣には小学校の建設も予定されています。
・子どもたちの成長を一緒に見守りたい方
・子どもたちの笑顔が大好きな方
・職員同士共に助け合いながら成長しリーダーを目指したい方
そのような方と是非一緒に働きたいと思っています。",,"月給 218,700円 〜 223,100円",,"通勤手当：月額 6,000円 毎月 月額まで マイカー通勤可否：可 応相談 昇給：あり 賞与：あり ",(1)8時30分〜17時30分 (2)7時00分〜16時00分 (3)10時00分〜19時00分 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5439995/"
社会福祉法人あおい会りとる・ルーナ保育園,神奈川県横浜市保土ケ谷区星川２丁目１８－２,"神奈川県横浜市保土ケ谷区星川２丁目１８－２
相鉄本線 星川駅から徒歩で4分
相鉄本線 和田町駅から徒歩で9分
相鉄本線 天王町駅から徒歩で16分","・保育士業務及び附帯する業務（定員５０人規模）・入職後１年は複数担任の１人として配属し、先輩保育士の指導
を受けながら、当園の業務に慣れていただけるよう配慮します
ので、ブランク等あってもご安心ください。・子ども一人ひとりが心身共に健やかに育つ環境づくりを重視し
た保育を行っています。・職員平均年収４１３万円（Ｈ２９年度実績）
借上社宅利用者は、実質年収５００万円以上になります。※長く安心して勤務して頂けるように、更なる働きやすい
環境づくりを目指して、より余裕のある保育士配置を行う
ための増員募集となります。",,"月給 218,680円 〜 371,095円",,"通勤手当： 毎月 25,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5829679/"
社会福祉法人あおい会鶴見ルーナ保育園,神奈川県横浜市鶴見区尻手１－１－１５ヨコハマオールパークス１２０,"神奈川県横浜市鶴見区尻手１－１－１５ヨコハマオールパークス１２０
京急本線 八丁畷駅から徒歩で11分
JR南武線 八丁畷駅から徒歩で11分
京急本線 鶴見市場駅から徒歩で10分","・保育士業務及び附帯する業務（定員９０名規模）・１歳児４：１、２歳児５：１対応。ゆとりを持って充実した保育
ができます。・入職後１年は複数担任の１人として配属し、先輩保育士の指導を
受けながら、当園の業務に慣れていただけるよう配慮しますので
ブランク等あってもご安心ください。・子ども一人ひとりが心身共に健やかに育つ環境づくりを重視した
保育を行っています。・職員平均年収４１３万円（Ｈ２９年度実績）、借上社宅利用者は
実質年収５００万円以上になります。※長く安心して勤務して頂けるように、更なる働きやすい環境づく
りを目指して、より余裕のある保育士配置を行うための増員募集",,"月給 218,680円 〜 371,095円",,"通勤手当： 毎月 25,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",実働８Ｈのシフト制 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5806324/"
社会福祉法人幌北学園,北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階,"北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階
札幌市電山鼻線 西４丁目駅から徒歩で2分
札幌市電山鼻線 狸小路駅から徒歩で5分
札幌市営地下鉄東西線 大通駅から徒歩で4分",子どもたちの好奇心を引き出し、主体性を育んでいます。また、職員にとって風通しが良い職場環境を目指しています。０歳～２歳児のクラス担任として勤務していただきます。「すべては子どもたちの笑顔と未来のために」この“おもい”を大切にしながら、ぜひ一緒に働きませんか？応募前の園見学も可能です。お気軽にご連絡ください！★園にて面接をする場合は交通費として一律１，０００円支給（ご希望の場合はオンライン面接も可能です）,,"月給 218,000円 〜 274,000円",,"通勤手当： 毎月 23,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",上記時間帯で実働８時間勤務 休憩60分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5893489/"
株式会社ＬａｕＬａｕ７０３,大阪府大阪市北区同心２丁目１４番３号－１Ｆ,"大阪府大阪市北区同心２丁目１４番３号－１Ｆ
大阪環状線 天満駅から徒歩で6分
大阪環状線 桜ノ宮駅から徒歩で8分
大阪メトロ堺筋線 扇町駅から徒歩で9分","２０２１年４月オープンの企業主導型保育園「らうらうキッズルーム」より保育スタッフの募集です。・アットホームでお一人おひとりとゆったり関わっていただけます・対象年齢１歳～５歳児・定員２０名乳幼児保育業務全般週案・月案などの書類業務連絡帳の記入保護者対応、アプリへの入力業務
等",,"月給 218,000円 〜 265,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",シフト制 休憩60分 時間外勤務：なし ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5891197/"
株式会社セリオ東京支店,東京都中央区日本橋堀留町２－３－５木下ビルディング５階,"東京都中央区日本橋堀留町２－３－５木下ビルディング５階
東京メトロ日比谷線 小伝馬町駅から徒歩で3分
東京メトロ日比谷線 人形町駅から徒歩で4分
都営浅草線 人形町駅から徒歩で4分",木の匂いのする新しくてきれいな認可保育園です。０～５歳の定員６０名で働きやすい中規模保育園。担任は基本複数配置ですので相談しながら運営できます。「一人ひとりにていねいな保育」を行います。行事よりも日々の生活を大切にしています。子育て中の職員も多く、産休育休取得後の復帰は９０％以上です。残業は少なめ、持ち帰りの仕事はありません。年間休日は１２５日以上。土曜日出勤の振替は平日に取得しています。,,"月給 218,000円 〜 273,000円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",シフト制月の所定労働時間１６０時間 休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5886835/"
社会福祉法人幌北学園,北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階,"北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階
札幌市電山鼻線 西４丁目駅から徒歩で2分
札幌市電山鼻線 狸小路駅から徒歩で5分
札幌市営地下鉄東西線 大通駅から徒歩で4分","認可保育園にて乳児クラスの担任として勤務していただきます。＊就業場所：発寒そらいろ保育園
（西区発寒８条１１丁目２番８号）",,"月給 218,000円 〜 279,000円",,"通勤手当： 毎月 23,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5858119/"
社会福祉法人幌北学園,北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階,"北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階
札幌市電山鼻線 西４丁目駅から徒歩で2分
札幌市電山鼻線 狸小路駅から徒歩で5分
札幌市営地下鉄東西線 大通駅から徒歩で4分","２歳児クラス担任として勤務していただきます。＊一人ひとりの個性を尊重し、たくさんの遊びを通して
豊な感性や思いやりの心を育む保育を行っています。＊入職時期：随時募集中＊就業場所：藻岩そらいろ保育園
（南区南３０条西８丁目８－５）『ＳＡＰＰＯＲＯ保育園ミーティング２０２３年９月参加予定』",,"月給 218,000円 〜 279,000円",,"通勤手当： 毎月 23,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト制＊シフト例　７：００～１６：００／７：３０～１６：３０／　　　　　　８：３０～１７：３０／９：００～１８：００／　　　　　１０：００～１９：００ 休憩60分 時間外勤務：なし ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5732863/"
社会福祉法人幌北学園,北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階,"北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階
札幌市電山鼻線 西４丁目駅から徒歩で2分
札幌市電山鼻線 狸小路駅から徒歩で5分
札幌市営地下鉄東西線 大通駅から徒歩で4分","クラス担任として勤務していただきます。＊定員１０５名の認定こども園です。
好奇心の種をまき、一人ひとりの個性や可能性を伸ばし
主体性を育む保育を行っています。＊就業場所：認定こども園西野そらいろ保育園
（西区西野４条７丁目１－８）『ＳＡＰＰＯＲＯ保育園ミーティング２０２３年９月参加予定』",,"月給 218,000円 〜 279,000円",,"通勤手当： 毎月 23,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト例（時間帯は基本的に週替わりです）６：５０～１５：５０／７：３０～１６：３０８：３０～１７：３０／９：００～１８：００１０：００～１９：００ 休憩60分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5732864/"
社会福祉法人以和貴会,大阪府東大阪市西堤本通東３－３－２７,"大阪府東大阪市西堤本通東３－３－２７
大阪メトロ中央線 高井田駅から徒歩で12分
おおさか東線 高井田中央駅から徒歩で13分
近鉄けいはんな線 長田駅から徒歩で18分","○保育士全般業務（０～６歳児）
＊０歳
：９名を３名で
１から２歳：１７～１８名（１クラス）を縦割り３名で
３～５歳：３０名（１クラス）縦割を３名で
担当頂きます。
★未経験の方、ブランクのある方も歓迎します！
一から丁寧に指導しますのでお気軽にご相談ください。",,"月給 218,000円 〜 251,770円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)8時30分〜17時00分 休憩45分 時間外勤務：あり ,年間休日数 96日,,"
https://job-medley.com/cw/hw/5716604/"
株式会社アヴェニエール,埼玉県川口市北園町１５－９サンパティオ３０３,"埼玉県川口市北園町１５－９サンパティオ３０３
JR武蔵野線 東浦和駅から徒歩で15分","最大７０名までの認可保育所での０歳～５歳児までの保育業務。★１日の流れ
７：００
開園・順次登園・その後自由遊び
９：３０頃～
朝おやつ・朝の会・主活動（散歩・製作など）１１：３０頃
給食１２：００～１３：００頃
午睡開始１５：００
おやつ１６：００頃
帰りの会・自由遊び・順次降園１９：００
閉園",,"月給 217,800円 〜 287,700円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",シフト制土曜勤務はシフトによる 休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5838293/"
株式会社アヴェニエール,埼玉県川口市北園町１５－９サンパティオ３０３,"埼玉県川口市北園町１５－９サンパティオ３０３
JR武蔵野線 東浦和駅から徒歩で15分","最大７０名の認可保育所での０歳～５歳児までの保育業務。＊有給休暇が入社日から使え、半日・１時間単位での取得も可＊産育休が入社１年未満でも取得可＊系列園にお子様をお預け頂けます。▼１日の流れ７：００…開園、朝のお迎え、その後自由遊び９：３０頃～…おやつ、朝の会、主活動１０：３０～１１：００頃…給食提供開始１２：３０～１５：００…午睡１５：３０頃…おやつ、帰りの会、その後自由遊び、順次降園１８：００
延長保育開始１９：００
閉園",,"月給 217,800円 〜 287,700円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5804958/"
学校法人二戸学園岩手保健医療大学附属認定こども園,岩手県二戸市堀野字馬場４０－１,"岩手県二戸市堀野字馬場４０－１
いわて銀河鉄道線 斗米駅から徒歩で22分","＊幼稚園教諭または保育士として０歳～５歳の教育、
保育をしていただきます（園児数８９名）
主な仕事
・保育（朝の会、帰りの会、給食、お昼寝、
午後の保育、保護者様対応等）
・その他、上記に付随する業務",,"月給 217,800円 〜 287,800円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時30分〜17時00分 (3)11時00分〜20時00分 ＊就業時間は相談に応じます※所定労働時間に応じて休憩時間を法定通り付与。 休憩60分 時間外勤務：なし ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5792656/"
社会福祉法人杏林福祉会,大阪府東大阪市岸田堂西１－６－３７,"大阪府東大阪市岸田堂西１－６－３７
大阪メトロ千日前線 北巽駅から徒歩で9分
大阪メトロ千日前線 小路駅から徒歩で14分
おおさか東線 ＪＲ長瀬駅から徒歩で14分","平成３０年４月に開園した定員１９名の小規模保育園です。新しい職場一緒に働きましょう！！【主な業務内容】保育全般業務私立の小規模保育園でのお仕事です。
＊０歳～２歳児の担当
＊食事・排泄のしつけ
※経験等により給与は決定します。",,"月給 217,700円 〜 246,800円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)8時30分〜17時30分 (2)7時30分〜16時30分 (3)10時00分〜19時00分 シフト制 休憩60分 時間外勤務：なし ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5835269/"
社会福祉法人今川福祉会東大阪青い鳥学園,大阪府東大阪市旭町１９－６,"大阪府東大阪市旭町１９－６
近鉄奈良線 瓢箪山駅から徒歩で9分
近鉄奈良線 枚岡駅から徒歩で17分
近鉄奈良線 東花園駅から徒歩で20分",☆令和２年４月瓢箪山にオープンした保育園のスタッフの募集です。☆☆有給休暇完全消化しています！！☆保育園での保育士業務・０～５歳児の担当・食事、排泄、着替えの補助・保護者対応など,,"月給 217,200円 〜 240,000円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,上記時間で実働８時間のシフト制 休憩45分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5811668/"
社会福祉法人優愛会,埼玉県川口市並木２丁目９番９号,"埼玉県川口市並木２丁目９番９号
JR京浜東北線 西川口駅から徒歩で8分","社会福祉法人優愛会「西青木クマさん保育所」での保育士業務。◎２０２１年度に開園した認可保育所です。（定員９０名）◎西川口駅から徒歩７分、自転車通勤も可！・乳幼児の保育・その他、保育所運営の為の諸業務等
保育士資格をお持ちの方、資格取得見込みの方、
ブランクのある方も大歓迎です！",,"月給 217,160円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：なし ,(1)7時00分〜19時00分 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5870098/"
社会福祉法人優愛会,埼玉県川口市並木２丁目９番９号,"埼玉県川口市並木２丁目９番９号
JR京浜東北線 西川口駅から徒歩で8分","社会福祉法人優愛会「西青木クマさん保育所」での保育士業務。◎２０２１年度に開園した認可保育所です。（定員９０名）◎西川口駅から徒歩７分、自転車通勤も可！・乳幼児の保育・その他、保育所運営の為の諸業務等
保育士資格をお持ちの方、資格取得見込みの方、
ブランクのある方も大歓迎です！",,"月給 217,160円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：なし ,休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5870095/"
マーブル保育園,大阪府豊中市服部元町２丁目９番１号,"大阪府豊中市服部元町２丁目９番１号
阪急宝塚本線 服部天神駅から徒歩で7分
阪急宝塚本線 曽根駅から徒歩で9分
阪急宝塚本線 岡町駅から徒歩で20分","１歳児〜５歳児の保育等
新しく開園した保育園で、日々の生活・成長を大切にします。
※保育所の定員は、１歳児９名、２歳児９名、３歳児１４名、４歳児１４名、５歳児１４歳の合計６０名です。",,"月給 217,108円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5742643/"
社会福祉法人さざんか福祉会どろんこベビー園,大阪府大阪市住之江区北加賀屋１丁目６−８,"大阪府大阪市住之江区北加賀屋１丁目６−８
大阪メトロ四つ橋線 北加賀屋駅から徒歩で3分
大阪メトロ四つ橋線 玉出駅から徒歩で14分
南海本線 粉浜駅から徒歩で17分","乳児の保育
０歳児〜２歳児まで１５名の乳児保育の担任",,"月給 217,000円 〜 302,000円",,"通勤手当：月額 25,000円 25000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時30分〜15時45分 (2)9時00分〜17時15分 (3)10時15分〜18時30分 シフト制 休憩45分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5896834/"
株式会社あんしん療育センターなないろ,山梨県甲斐市岩森字東堀５８０－１,"山梨県甲斐市岩森字東堀５８０－１
JR中央本線(東京～塩尻) 塩崎駅から徒歩で15分","甲斐市の児童発達支援センターとして運営しており、子どもの障がい特性に応じて、一人一人の地域での生活をサポートしています。１クラス１０～１５人の子どもを、職員３～４人（保育士、児童指導員等）で療育します。未就学児、就学児（１８歳まで）を合わせた１日の定員は９０名。＜担当業務＞
一般保育業務
発達に遅れや障害のある子どもに対する保育
送迎補助（添乗）あり※急募",,"月給 217,000円 〜 245,000円",,"通勤手当： 毎月 10,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時00分〜17時00分 (2)8時30分〜17時30分 (3)9時00分〜18時00分 （１）（２）（３）のシフト勤務 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5883951/"
社会福祉法人良心会,埼玉県川口市木曽呂４９６－２,"埼玉県川口市木曽呂４９６－２
埼玉高速鉄道線 新井宿駅から車で7分","■川口木曽呂ゆたか保育園
川口市大字木曽呂４９６－２
定員６０名
／平成３０年４月開園
■蕨錦町ゆたか保育園
蕨市錦町３－８－５
定員６９名
／令和２年４月開園
■蕨ゆたか保育園
蕨市中央３－５－７
定員８８名
／令和５年４月開園＊上記３園は、生後８週目から５歳時までの認可保育園です。
＊保育園での経験があれば尚可
経験がない方でも他の職員がサポートしますので、安心して勤務
していただけます。＊業務分担等は勤務時間内に終わられるよう仕事分担をし、
残業なしを目指しています。",,"月給 217,000円 〜 317,000円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)7時00分〜16時00分 (2)8時30分〜17時30分 (3)10時00分〜19時00分 蕨ゆたか保育園は以下になります。《交替制（シフト制）》　　　（１）７時３０分～１６時３０分／（２）９時００分～１８時００分／（３）１０時３０分～１９時３０分／または７時３０分から１９時３０分の間の８時間 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5804952/"
スターグループ株式会社「スター保育園」,北海道札幌市豊平区豊平４条３丁目１－１５アサヒパレス立花２０５,"北海道札幌市豊平区豊平４条３丁目１－１５アサヒパレス立花２０５
札幌市営地下鉄東豊線 学園前駅から徒歩で8分
札幌市営地下鉄東西線 菊水駅から徒歩で9分
札幌市営地下鉄東豊線 豊水すすきの駅から徒歩で16分","定員１２名（生後５か月～未就学児）の保育業務全般に従事していただきます。就業時間内で実働８時間程度のシフト制勤務です。（園児の降園時間より、現在は１９時で閉園）＊シフト制のため、自分の子どもの急な発熱等によるお休みもサポ
ートし合って調整します。気軽にご相談ください。＊子育て中、ブランクのある方も歓迎いたします。＊雇用開始日は令和６年４月１日の予定です。",,"月給 217,000円 〜 239,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",就業時間内で実働８時間のシフト制勤務です。（在園時の降園時間による。現在は１９時で閉園。） 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5786633/"
